"","company","requirement","have_python","have_r","have_matlab","have_java","have_scala","have_sas","have_spss","have_hadoop","have_jmp","have_tableau","have_sql","have_spark","have_excel","have_d3","have_ml","have_bigdata","have_cs","have_economics","have_supplychain","have_crm","challenging_job"
"133","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"134","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"135","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"136","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"137","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"138","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"139","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"140",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"141","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"142",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"143","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"144","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"145","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"146","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"147","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"148","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"149","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"150",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"151","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"152",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"153","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"154","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"155","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"156","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"157","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"158","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"159","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"160",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"161","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"162",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"163","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"164","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"165","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"166","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"167","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"168","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"169","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"170",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"171","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"172",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"173","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"174","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"175","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"176","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"177","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"178","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"179",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"180","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"181","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"182",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"183","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"184","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"185","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"186","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"187","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"188","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"189","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"190",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"191","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"192",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"193","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"194","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"195","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"196","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"197","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"198","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"199",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"200","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"201","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"202",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"203","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"204","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"205","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"206","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"207","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"208","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"209","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"210",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"211","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"212",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"213","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"214","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"215","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"216","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"217","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"218","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"219","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"220",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"221","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"222",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"223","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"224","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"225","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"226","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"227","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"228","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"229","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"230",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"231","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"232",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"233","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"234","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"235","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"236","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"237","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"238","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"239",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"240","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"241","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"242",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"243","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"244","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"245","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"246","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"247","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"248","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"249","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"250",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"251","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"252",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"253","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"254","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"255","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"256","      Skyscanner "," A real passion for Data Analysis, Big Data & Software Engineering. As a Data Scientist at Skyscanner you can expect a wide variety of challenging Big Data...",1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,"TRUE"
"257","      BNP Paribas "," Knowledge in machine learning and data engineering with experience in implementing solutions managing large amount of data....",1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,"TRUE"
"258","    Carousell "," Investigate and research data quality and integrity from data sources. Assisting the Data Scientist in getting the Machine Learning models to production ready....",1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,"FALSE"
"259","      The Advertiser "," We are looking for a Data Scientist to join our team. Previous experience in data mining, modelling and visualisation is necessary....",1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"FALSE"
"260",NA," Using data modeling, linear regression, statistical methods and proprietary data, your role is to discover trends and provide understandings/estimates based on...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"261","      Rolls-Royce "," Experienced in exploring and visualising data, being able to work with large data sets. Experienced in the use of one or more current analytical / big data...",1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,"FALSE"
"262",NA," Experience handling large scale data and/or big data platform. Conduct ad-hoc data analysis; Deep understanding of and experience with machine learning models...",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FALSE"
"263","      Dell "," Prior relevant experience in data management, automation, IT programming, forecasting, data mining or statistical modeling....",0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,"FALSE"
"264","    Quinnox Solutions SG "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
"265","    Quinnox Solutions "," 2+ experience as data scientist working on various data science projects. Familiar with big data technologies like Hadoop, Hive, Pig and Spark....",1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,"FALSE"
